team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Leicester City,0,0.0,4141.0,46.9,4.0,644.0,470.0,31.0,23.0,30.0,190.0,95.0,6.0,3.0,1.0,16.0,22.0,19.0,295.0,9.0
Leicester City,3,0.0,4141.0,67.2,6.0,816.0,610.0,57.0,41.0,76.0,348.0,195.0,9.0,15.0,2.0,19.0,22.0,8.0,286.0,13.0
Leicester City,0,1.0,4141.0,71.7,6.0,973.0,773.0,70.0,33.0,91.0,477.0,182.0,3.0,9.0,3.0,13.0,23.0,12.0,320.0,6.0
Leicester City,2,1.0,4141.0,58.8,9.0,809.0,605.0,39.0,30.0,73.0,347.0,187.0,8.0,10.0,3.0,15.0,21.0,10.0,277.0,6.0
Leicester City,3,1.0,433.0,52.8,8.0,724.0,521.0,48.0,25.0,55.0,306.0,149.0,9.0,9.0,1.0,24.0,15.0,12.0,231.0,9.0
Leicester City,2,1.0,433.0,49.1,9.0,624.0,446.0,35.0,20.0,43.0,254.0,122.0,6.0,13.0,2.0,14.0,11.0,8.0,204.0,6.0
Leicester City,1,1.0,433.0,65.4,10.0,742.0,541.0,45.0,37.0,82.0,375.0,220.0,17.0,10.0,1.0,19.0,18.0,9.0,195.0,7.0
Leicester City,0,1.0,4231.0,44.8,8.0,613.0,418.0,27.0,34.0,42.0,295.0,156.0,6.0,11.0,1.0,12.0,19.0,12.0,146.0,14.0
Leicester City,1,2.0,433.0,71.7,8.0,790.0,552.0,34.0,55.0,82.0,459.0,257.0,14.0,9.0,4.0,10.0,16.0,11.0,136.0,7.0
Leicester City,0,0.0,4231.0,62.2,3.0,671.0,448.0,35.0,39.0,60.0,261.0,122.0,10.0,6.0,1.0,19.0,17.0,6.0,212.0,14.0
Leicester City,2,1.0,433.0,33.9,4.0,522.0,320.0,26.0,19.0,47.0,182.0,94.0,2.0,8.0,1.0,22.0,11.0,8.0,149.0,5.0
Leicester City,0,1.0,433.0,42.2,5.0,629.0,410.0,34.0,32.0,49.0,233.0,124.0,8.0,3.0,3.0,20.0,22.0,13.0,200.0,12.0
Leicester City,2,2.0,4231.0,37.7,3.0,512.0,303.0,27.0,22.0,48.0,188.0,99.0,3.0,4.0,1.0,27.0,17.0,16.0,126.0,7.0
Leicester City,0,0.0,4231.0,63.0,9.0,690.0,479.0,31.0,45.0,54.0,295.0,143.0,9.0,13.0,1.0,13.0,19.0,7.0,226.0,13.0
Leicester City,1,1.0,4231.0,64.2,11.0,769.0,552.0,45.0,55.0,82.0,402.0,215.0,8.0,13.0,7.0,16.0,24.0,14.0,195.0,17.0
Leicester City,1,1.0,4231.0,51.3,5.0,655.0,461.0,47.0,16.0,57.0,238.0,110.0,3.0,5.0,5.0,13.0,24.0,6.0,234.0,10.0
Leicester City,3,1.0,4231.0,62.0,7.0,778.0,589.0,51.0,26.0,79.0,371.0,163.0,7.0,11.0,1.0,23.0,19.0,11.0,233.0,10.0
Leicester City,1,2.0,4231.0,51.2,3.0,694.0,496.0,40.0,24.0,71.0,305.0,148.0,9.0,3.0,3.0,23.0,16.0,6.0,208.0,9.0
Leicester City,2,2.0,4231.0,42.8,2.0,610.0,382.0,41.0,21.0,38.0,241.0,86.0,5.0,1.0,1.0,24.0,16.0,13.0,154.0,10.0
Leicester City,0,0.0,451.0,39.0,2.0,608.0,416.0,25.0,12.0,23.0,131.0,55.0,4.0,3.0,0.0,22.0,14.0,12.0,292.0,5.0
Leicester City,2,0.0,4411.0,50.7,5.0,633.0,425.0,36.0,30.0,65.0,273.0,127.0,3.0,8.0,2.0,27.0,18.0,8.0,172.0,9.0
Leicester City,4,0.0,4141.0,55.2,7.0,676.0,467.0,40.0,20.0,48.0,229.0,102.0,8.0,10.0,3.0,16.0,21.0,12.0,254.0,11.0
Leicester City,2,1.0,4141.0,37.8,0.0,488.0,294.0,21.0,18.0,39.0,183.0,79.0,4.0,5.0,1.0,12.0,12.0,5.0,127.0,10.0
Leicester City,1,0.0,3421.0,61.0,0.0,760.0,576.0,37.0,25.0,56.0,347.0,158.0,9.0,5.0,1.0,13.0,20.0,9.0,251.0,12.0
Leicester City,1,0.0,4141.0,46.9,9.0,625.0,437.0,32.0,29.0,59.0,281.0,158.0,3.0,17.0,5.0,12.0,18.0,15.0,178.0,4.0
Leicester City,1,1.0,4411.0,27.9,2.0,506.0,301.0,23.0,21.0,49.0,188.0,82.0,0.0,5.0,3.0,19.0,15.0,16.0,126.0,6.0
Leicester City,3,0.0,4231.0,54.4,5.0,667.0,447.0,32.0,35.0,62.0,296.0,145.0,5.0,11.0,0.0,14.0,22.0,10.0,173.0,10.0
Leicester City,1,0.0,433.0,40.4,3.0,611.0,366.0,31.0,20.0,49.0,208.0,116.0,4.0,4.0,2.0,26.0,29.0,13.0,171.0,8.0
Leicester City,1,0.0,433.0,27.9,2.0,499.0,262.0,33.0,28.0,49.0,183.0,88.0,5.0,3.0,2.0,23.0,24.0,17.0,99.0,9.0
Leicester City,0,0.0,4231.0,56.7,7.0,717.0,495.0,60.0,35.0,64.0,298.0,118.0,4.0,8.0,3.0,24.0,25.0,13.0,222.0,8.0
Leicester City,1,0.0,4231.0,54.5,6.0,591.0,385.0,32.0,33.0,68.0,217.0,108.0,2.0,11.0,2.0,14.0,22.0,15.0,189.0,7.0
Leicester City,1,0.0,4231.0,45.4,3.0,579.0,369.0,33.0,24.0,50.0,219.0,106.0,2.0,6.0,1.0,17.0,24.0,15.0,162.0,7.0
Leicester City,1,0.0,4231.0,59.9,4.0,616.0,403.0,33.0,33.0,49.0,258.0,118.0,3.0,10.0,3.0,11.0,14.0,10.0,172.0,12.0
Leicester City,1,1.0,3412.0,30.9,3.0,505.0,309.0,27.0,23.0,40.0,175.0,80.0,3.0,5.0,1.0,14.0,23.0,20.0,146.0,10.0
Leicester City,2,0.0,4231.0,58.5,4.0,740.0,525.0,54.0,28.0,59.0,300.0,119.0,3.0,9.0,0.0,22.0,23.0,9.0,248.0,5.0
Leicester City,2,0.0,4231.0,53.3,4.0,616.0,398.0,48.0,37.0,71.0,287.0,135.0,3.0,11.0,3.0,20.0,22.0,16.0,139.0,15.0
Leicester City,2,0.0,4231.0,48.3,3.0,608.0,425.0,38.0,21.0,54.0,242.0,114.0,3.0,5.0,0.0,14.0,16.0,8.0,198.0,11.0
Leicester City,1,0.0,4231.0,53.7,3.0,744.0,543.0,40.0,37.0,61.0,360.0,167.0,8.0,5.0,2.0,14.0,18.0,12.0,210.0,8.0
